,APPLICATION_TYPE_T10,APPLICATION_TYPE_T12,APPLICATION_TYPE_T13,APPLICATION_TYPE_T14,APPLICATION_TYPE_T15,APPLICATION_TYPE_T17,APPLICATION_TYPE_T19,APPLICATION_TYPE_T2,APPLICATION_TYPE_T25,APPLICATION_TYPE_T29,APPLICATION_TYPE_T3,APPLICATION_TYPE_T4,APPLICATION_TYPE_T5,APPLICATION_TYPE_T6,APPLICATION_TYPE_T7,APPLICATION_TYPE_T8,APPLICATION_TYPE_T9,AFFILIATION_CompanySponsored,AFFILIATION_Family/Parent,AFFILIATION_Independent,AFFILIATION_National,AFFILIATION_Other,AFFILIATION_Regional,CLASSIFICATION_C0,CLASSIFICATION_C1000,CLASSIFICATION_C1200,CLASSIFICATION_C1230,CLASSIFICATION_C1234,CLASSIFICATION_C1235,CLASSIFICATION_C1236,CLASSIFICATION_C1237,CLASSIFICATION_C1238,CLASSIFICATION_C1240,CLASSIFICATION_C1245,CLASSIFICATION_C1246,CLASSIFICATION_C1248,CLASSIFICATION_C1250,CLASSIFICATION_C1256,CLASSIFICATION_C1257,CLASSIFICATION_C1260,CLASSIFICATION_C1267,CLASSIFICATION_C1270,CLASSIFICATION_C1278,CLASSIFICATION_C1280,CLASSIFICATION_C1283,CLASSIFICATION_C1300,CLASSIFICATION_C1370,CLASSIFICATION_C1400,CLASSIFICATION_C1500,CLASSIFICATION_C1570,CLASSIFICATION_C1580,CLASSIFICATION_C1600,CLASSIFICATION_C1700,CLASSIFICATION_C1720,CLASSIFICATION_C1728,CLASSIFICATION_C1732,CLASSIFICATION_C1800,CLASSIFICATION_C1820,CLASSIFICATION_C1900,CLASSIFICATION_C2000,CLASSIFICATION_C2100,CLASSIFICATION_C2150,CLASSIFICATION_C2170,CLASSIFICATION_C2190,CLASSIFICATION_C2300,CLASSIFICATION_C2380,CLASSIFICATION_C2400,CLASSIFICATION_C2500,CLASSIFICATION_C2561,CLASSIFICATION_C2570,CLASSIFICATION_C2600,CLASSIFICATION_C2700,CLASSIFICATION_C2710,CLASSIFICATION_C2800,CLASSIFICATION_C3000,CLASSIFICATION_C3200,CLASSIFICATION_C3700,CLASSIFICATION_C4000,CLASSIFICATION_C4100,CLASSIFICATION_C4120,CLASSIFICATION_C4200,CLASSIFICATION_C4500,CLASSIFICATION_C5000,CLASSIFICATION_C5200,CLASSIFICATION_C6000,CLASSIFICATION_C6100,CLASSIFICATION_C7000,CLASSIFICATION_C7100,CLASSIFICATION_C7120,CLASSIFICATION_C7200,CLASSIFICATION_C7210,CLASSIFICATION_C8000,CLASSIFICATION_C8200,CLASSIFICATION_C8210,USE_CASE_CommunityServ,USE_CASE_Heathcare,USE_CASE_Other,USE_CASE_Preservation,USE_CASE_ProductDev,ORGANIZATION_Association,ORGANIZATION_Co-operative,ORGANIZATION_Corporation,ORGANIZATION_Trust,INCOME_AMT_0,INCOME_AMT_1-9999,INCOME_AMT_10000-24999,INCOME_AMT_100000-499999,INCOME_AMT_10M-50M,INCOME_AMT_1M-5M,INCOME_AMT_25000-99999,INCOME_AMT_50M+,INCOME_AMT_5M-10M,SPECIAL_CONSIDERATIONS_N,SPECIAL_CONSIDERATIONS_Y,STATUS,ASK_AMT
APPLICATION_TYPE_T10,1.0,-0.003697147641557822,-0.005615577538373774,-0.001089784226580606,-0.000770578837807161,-0.0007705788378071615,-0.02205601247610658,-0.0025562177986593847,-0.0013347335880497242,-0.001089784226580607,-0.23753946384012556,-0.027002144369174245,-0.02339642768995741,-0.023975721541735287,-0.017942592919858297,-0.018587537562153505,-0.008024797964663826,0.091878561534579,-0.0052875522895106586,-0.09101471564410868,-0.0038546928559405878,-0.0010897842265806083,-0.0025562177986593903,-0.0013347335880497153,0.12296544827651923,-0.05018329692419134,-0.003776738765330171,-0.0007705788378071606,-0.002179822704366888,,-0.0018877084331652338,-0.0018877084331652232,-0.003697147641557857,-0.0007705788378071607,-0.0007705788378071612,-0.000770578837807161,-0.0024372106488695358,-0.0010897842265806083,-0.0013347335880497162,-0.0013347335880497157,-0.000770578837807161,-0.007282093137495114,-0.0018877084331652275,-0.004815821766124574,,-0.004997906316095925,-0.0007705788378071603,-0.004292905468715454,-0.0027790098030659478,-0.0007705788378071613,-0.0007705788378071611,-0.0013347335880497205,-0.011346199091653651,-0.0018877084331652364,-0.0007705788378071628,-0.0007705788378071616,-0.002556217798659408,-0.0007705788378071625,-0.0007705788378071605,-0.05761141279459976,-0.029806440269437517,,,,-0.0039311073026764756,-0.0007705788378071607,-0.001723200649881058,-0.0007705788378071627,-0.0007705788378071614,-0.0007705788378071602,,-0.0068594624138172714,-0.0010897842265806062,-0.006220348280517593,-0.0300842528300693,-0.0007705788378071604,-0.0007705788378071607,-0.009272756655711388,-0.0017232006498810542,-0.0007705788378071621,-0.000770578837807161,,-0.007116014239820951,-0.0007705788378071613,-0.002669934333507683,-0.000770578837807161,-0.019049989142348626,-0.006025444524705588,-0.0027790098030659243,-0.0036158113825285223,-0.0018877084331652319,-0.0029852514928230215,-0.0021798227043668753,-0.0007705788378071614,-0.013081281730990404,-0.00817269236431693,-0.0013347335880497149,0.026938808087121142,-0.02274749858590975,0.1713827014794435,-0.01476523702196772,-0.004496093075704102,-0.1649213489496962,0.06468579798081976,-0.012117916585512343,-0.0101601360115186,-0.03780010218831297,-0.010139806348420887,-0.01875713809904129,-0.031840737443292154,-0.007912094204230762,-0.009305079906704306,0.0036158113825281663,-0.0036158113825285427,0.0013347335880501082,-0.003606125609294275
APPLICATION_TYPE_T12,-0.003697147641557822,1.0,-0.0013592691136628413,-0.0002637858759184623,-0.00018652115596587613,-0.00018652115596587594,-0.005338730758228591,-0.0006187409714796844,-0.00032307667890019777,-0.0002637858759184625,-0.05749721275639539,-0.0065359583396139955,-0.005663182693442945,-0.005803402685968204,-0.004343063951718049,-0.004499174935192845,-0.0019424288850458397,-0.027690237137021987,-0.0012798695174085944,0.02526705152893913,0.04080878601627321,-0.0002637858759184636,-0.0006187409714796846,-0.0003230766789001966,0.016757508560322907,-0.008415732731826208,-0.0009141721076783599,-0.0001865211559658759,-0.0005276332941820527,,-0.00045692606882700277,-0.0004569260688270023,-0.0008949068129644771,-0.00018652115596587594,-0.00018652115596587586,-0.00018652115596587594,-0.0005899348973209731,-0.0002637858759184626,-0.000323076678900197,-0.00032307667890019615,-0.00018652115596587608,-0.0017626547255332895,-0.00045692606882700304,-0.001165685584228253,,-0.001209759751695444,-0.00018652115596587656,-0.0010391119651762422,-0.0006726685129109015,-0.00018652115596587667,-0.00018652115596587605,-0.00032307667890019777,-0.0027463850115798227,-0.00045692606882700277,-0.00018652115596587597,-0.00018652115596587619,-0.0006187409714796883,-0.00018652115596587597,-0.00018652115596587608,-0.0037556101182040667,-0.007214747435971733,,,,-0.0009515375226338453,-0.0001865211559658759,-0.0004171064158621463,-0.00018652115596587627,-0.00018652115596587591,-0.00018652115596587597,,-0.0016603555612434776,-0.00026378587591846216,-0.0015056558717523858,-0.007281992884988122,-0.0001865211559658759,-0.0001865211559658764,0.015188335045852453,-0.0004171064158621455,-0.00018652115596587586,-0.00018652115596587605,,-0.00172245477913472,-0.00018652115596587594,-0.000646266434795928,-0.00018652115596587594,-0.004611112869488682,-0.0014584787731188433,-0.0006726685129109047,-0.0008752191024905409,-0.0004569260688270038,-0.0007225899959499549,-0.0005276332941820526,-0.00018652115596587594,-0.0031663675022829837,-0.001978227213562974,-0.00032307667890020005,-0.06334419212518773,0.06685765377744328,-0.016743403701133995,-0.0035739744492396057,-0.0010882941973814654,0.017503271404917895,-0.015366520418142973,0.004321239582633949,-0.003721321576549991,0.011832698631718324,-0.0024543736585858245,-0.005014345311910511,0.010463375815640694,0.018484554017035353,-0.0022523253629599966,0.0008752191024903197,-0.0008752191024905361,0.00032307667890161114,0.0049995739170768
APPLICATION_TYPE_T13,-0.005615577538373774,-0.0013592691136628413,1.0,-0.00040066293893629886,-0.000283305974070362,-0.00028330597407036254,-0.008108969247628266,-0.0009398023120463915,-0.0004907194186164297,-0.0004006629389362991,-0.08733220519639973,-0.009927431739842047,-0.008601777535615326,-0.008814756923185611,-0.0065966563252291876,-0.006833772452927282,-0.0029503447182205687,-0.04205855128722545,-0.0019439868814599447,0.04062004453591236,-0.0014171911564584024,-0.00040066293893630006,0.040527564197526955,-0.0004907194186164263,0.022918184778003312,-0.018450062627762172,-0.0013885310655117142,-0.0002833059740703621,-0.0008014193542074613,,-0.0006940225323869357,-0.0006940225323869348,-0.0013592691136628408,-0.000283305974070362,-0.0002833059740703624,-0.00028330597407036226,-0.0008960489219474731,-0.0004006629389362991,-0.0004907194186164269,-0.0004907194186164262,-0.0002833059740703624,-0.002677286720538525,-0.0006940225323869341,-0.001770553523483312,,-0.0018374975378551725,-0.0002833059740703626,-0.0015783015387074032,-0.0010217125627912684,-0.00028330597407036254,-0.00028330597407036243,-0.0004907194186164273,-0.004171469326622722,-0.0006940225323869346,-0.00028330597407036183,-0.00028330597407036254,-0.000939802312046395,-0.00028330597407036183,-0.0002833059740703622,0.007922871245972752,-0.010958440823697083,,,,-0.0014452851920111393,-0.0002833059740703622,-0.0006335406770610071,-0.0002833059740703629,-0.0002833059740703625,-0.00028330597407036216,,-0.0025219050736919324,-0.0004006629389362986,-0.0022869325527856547,-0.011060579572177062,-0.0002833059740703621,-0.00028330597407036226,-0.003409161045921618,-0.0006335406770610061,-0.0002833059740703617,-0.00028330597407036254,,-0.002616227239574851,-0.00028330597407036243,-0.0009816105892692319,-0.00028330597407036243,-0.007003794375356903,-0.0022152755130628436,-0.0010217125627912747,-0.0013293655568027583,-0.0006940225323869394,-0.00109753803313097,-0.000801419354207459,-0.0002833059740703622,-0.0048093784581902605,-0.003004718605612178,-0.0004907194186164278,0.0036967115013109516,-0.0019337330943747949,-0.016646374701631935,0.1838086977296321,0.021944043082193797,-0.03189480559939781,0.013831053328732816,0.028069392101373054,-0.005652295197368579,-0.015075809462758778,-0.0037279348633541087,-0.007616261949265851,-0.010346308042748997,-0.002908908791013278,-0.003421044800909887,0.0013293655568030103,-0.0013293655568027566,0.0004907194186150684,-0.001338235830124294
APPLICATION_TYPE_T14,-0.001089784226580606,-0.0002637858759184623,-0.00040066293893629886,1.0,-5.497963116494403e-05,-5.497963116494412e-05,-0.0015736630327878294,-0.00018238226233605368,-9.523121681262669e-05,-7.775445144234503e-05,-0.016948080414734574,-0.0019265620404323675,-0.0016692996249827782,-0.0017106313625600367,-0.0012801767872107131,-0.0013261926091039122,-0.0005725571617382276,0.0006821208929490456,-0.00037725883502058734,-0.0006233671722741872,-0.0002750264879799265,-7.775445144234514e-05,-0.00018238226233605392,-9.523121681262723e-05,0.008773398204800983,-0.0035805021110940022,-0.00026946458186561506,-5.497963116494388e-05,-0.00015552704332253306,,-0.00013468513318860544,-0.00013468513318860593,-0.000263785875918461,-5.497963116494401e-05,-5.4979631164944084e-05,-5.497963116494392e-05,-0.00017389128272382224,-7.775445144234493e-05,-9.523121681262696e-05,-9.523121681262692e-05,-5.497963116494408e-05,-0.0005195662989494665,-0.0001346851331886055,-0.0003436015777582182,,-0.0003565930341895267,-5.497963116494397e-05,-0.0003062922931644422,-0.00019827813389103886,-5.497963116494395e-05,-5.497963116494408e-05,-9.523121681262636e-05,-0.0008095340938226573,-0.00013468513318860593,-5.497963116494379e-05,-5.497963116494411e-05,-0.0001823822623360555,-5.497963116494367e-05,-5.497963116494397e-05,-0.004110486910530836,-0.0021266442990012418,,,,-0.0002804785428393187,-5.4979631164944036e-05,-0.00012294775239773855,-5.497963116494419e-05,-5.497963116494412e-05,-5.49796311649439e-05,,-0.0004894122379154153,-7.775445144234477e-05,-0.0004438124139945984,-0.0021464658037806806,-5.4979631164943874e-05,-5.49796311649439e-05,-0.0006615971212810147,-0.00012294775239773912,-5.4979631164943786e-05,-5.497963116494398e-05,,-0.0005077168215301443,-5.4979631164943955e-05,-0.0001904957645976873,-5.4979631164943955e-05,-0.0013591878278450984,-0.00042990632667236855,-0.00019827813389103604,-0.00025798265721796714,-0.0001346851331886058,-0.0002129931656014152,-0.00015552704332253355,-5.497963116494388e-05,-0.0009333296081439329,-0.0005831092028083205,-9.523121681262605e-05,-0.018671556593405112,0.019707196892506263,0.013470982203650618,-0.0010534772637162781,-0.0003207894207021158,-0.012992807327852641,-0.013833764454815087,-0.0013285741238723138,-0.0010969098205798051,0.011825433157791951,-0.0007234598016039056,-0.0014780460390935316,-0.003077418792923826,-0.0005645159193948165,0.05822661190723044,0.00025798265721841833,-0.0002579826572179664,9.52312168123785e-05,0.008692977201111245
APPLICATION_TYPE_T15,-0.000770578837807161,-0.00018652115596587613,-0.000283305974070362,-5.497963116494403e-05,1.0,-3.8875714341251105e-05,-0.0011127261721438088,-0.00012896122766295335,-6.733733025728269e-05,-5.497963116494393e-05,-0.011983869641815293,-0.001362258603006088,-0.0011803501405110647,-0.001209575524334766,-0.0009052040916134262,-0.0009377415588388975,-0.0004048511820131185,-0.005771343971175675,-0.00026675709516809184,0.0058098213928543295,-0.00019446931447954994,-5.4979631164944124e-05,-0.0001289612276629537,-6.733733025728316e-05,0.00620360877628735,-0.0025317481096142733,-0.00019053652939694124,-3.8875714341251254e-05,-0.00010997208930716455,,-9.523491978593224e-05,-9.523491978593267e-05,-0.00018652115596587505,-3.887571434125114e-05,-3.8875714341251085e-05,-3.887571434125126e-05,-0.00012295731510682514,-5.497963116494395e-05,-6.73373302572831e-05,-6.733733025728287e-05,-3.8875714341251126e-05,-0.0003673817119417034,-9.52349197859323e-05,-0.0002429582829331316,,-0.00025214445130856397,-3.8875714341251e-05,-0.00021657714760334602,-0.00014020108774718843,-3.887571434125102e-05,-3.8875714341251126e-05,-6.733733025728267e-05,-0.0005724159204803804,-9.523491978593287e-05,-3.887571434125092e-05,-3.887571434125115e-05,-0.00012896122766295443,-3.887571434125088e-05,-3.88757143412511e-05,-0.002906496670700453,-0.0015037353747497939,,,,-0.00019832442450476413,-3.887571434125112e-05,-8.693549956299018e-05,-3.887571434125116e-05,-3.8875714341251105e-05,-3.887571434125123e-05,,-0.0003460599853649728,-5.497963116494381e-05,-0.000313816667408934,-0.0015177510227505503,-3.887571434125125e-05,-3.8875714341251024e-05,-0.00046781071736826026,-8.693549956299071e-05,-3.8875714341250915e-05,-3.887571434125121e-05,,-0.0003590030289733754,-3.887571434125099e-05,-0.00013469822861307039,-3.887571434125121e-05,-0.0009610722482456914,-0.0003039837698996434,-0.00014020108774718648,-0.000182417740433978,-9.523491978593258e-05,-0.0001506059842001824,-0.00010997208930716482,-3.887571434125131e-05,-0.0006599508665960385,-0.00041231245677371837,-6.733733025728229e-05,-0.013202527646175785,0.013934821689898218,-0.004081337970296253,-0.0007449064371925132,-0.00022682796553321675,0.004231543636230575,-0.009781758513368394,-0.0009394255113477464,-0.0007756172957042965,0.018792090386270846,-0.0005115533878383801,-0.001045116061739886,-0.0021760213986009255,-0.0003991652755479883,-0.00046944142588312355,0.00018241774043356506,-0.0001824177404339776,6.733733025756584e-05,-0.00017571059933117693
APPLICATION_TYPE_T17,-0.0007705788378071615,-0.00018652115596587594,-0.00028330597407036254,-5.497963116494412e-05,-3.8875714341251105e-05,1.0,-0.0011127261721438095,-0.00012896122766295343,-6.733733025728269e-05,-5.4979631164944064e-05,-0.011983869641815295,-0.0013622586030060887,-0.001180350140511064,-0.0012095755243347656,-0.0009052040916134261,-0.0009377415588388976,-0.0004048511820131183,-0.005771343971175677,-0.00026675709516809157,0.005809821392854439,-0.00019446931447955005,-5.497963116494424e-05,-0.00012896122766295354,-6.733733025728305e-05,0.00620360877628738,-0.0025317481096142746,-0.00019053652939694115,-3.887571434125099e-05,-0.00010997208930716457,,-9.523491978593236e-05,-9.523491978593268e-05,-0.0001865211559658751,-3.8875714341251126e-05,-3.88757143412513e-05,-3.887571434125101e-05,-0.00012295731510682538,-5.4979631164944016e-05,-6.733733025728283e-05,-6.733733025728277e-05,-3.887571434125133e-05,-0.00036738171194170346,-9.523491978593234e-05,-0.00024295828293313147,,-0.00025214445130856424,-3.887571434125104e-05,-0.00021657714760334618,-0.0001402010877471885,-3.887571434125103e-05,-3.887571434125132e-05,-6.733733025728248e-05,-0.0005724159204803803,-9.523491978593262e-05,-3.8875714341250936e-05,-3.887571434125135e-05,-0.00012896122766295452,-3.8875714341250854e-05,-3.887571434125105e-05,-0.0029064966707004537,-0.0015037353747497947,,,,-0.00019832442450476445,-3.88757143412512e-05,-8.693549956299047e-05,-3.887571434125138e-05,-3.8875714341251295e-05,-3.8875714341251e-05,,-0.00034605998536497247,-5.497963116494395e-05,-0.00031381666740893424,-0.0015177510227505494,-3.887571434125099e-05,-3.8875714341251004e-05,-0.0004678107173682602,-8.693549956299077e-05,-3.887571434125094e-05,-3.887571434125106e-05,,-0.00035900302897337556,-3.887571434125103e-05,-0.0001346982286130703,-3.887571434125103e-05,-0.0009610722482456924,-0.0003039837698996431,-0.00014020108774718672,-0.0001824177404339782,-9.523491978593256e-05,-0.00015060598420018253,-0.00010997208930716492,-3.8875714341251004e-05,-0.0006599508665960391,-0.00041231245677371794,-6.733733025728227e-05,-0.01320252764617579,0.013934821689898215,-0.00408133797029625,0.05218872116043242,-0.00022682796553321678,-0.00918712358497191,-0.009781758513368393,-0.0009394255113477473,0.05012228911933961,-0.0020687275094021977,-0.0005115533878383795,-0.0010451160617398877,-0.002176021398600927,-0.00039916527554798806,-0.0004694414258831235,0.00018241774043402143,-0.0001824177404339774,6.733733025731002e-05,-0.0001503177275272097
APPLICATION_TYPE_T19,-0.02205601247610658,-0.005338730758228591,-0.008108969247628266,-0.0015736630327878294,-0.0011127261721438088,-0.0011127261721438095,1.0,-0.003691212769821669,-0.0019273731945309619,-0.001573663032787831,-0.34301017023005625,-0.03899145845879668,-0.0337847552359084,-0.03462126332386628,-0.02590934471398591,-0.02684065342356336,-0.01158791584110741,0.12426923038752492,-0.002372142836021667,-0.12347659895952215,-0.00556622815984236,-0.0015736630327878335,-0.0036912127698216883,-0.0019273731945309463,0.1775637557813641,-0.07246535351388145,-0.00545366140795141,-0.001112726172143806,-0.003147693207725139,,-0.002725876284037255,-0.002725876284037248,-0.005338730758228657,-0.0011127261721438075,-0.001112726172143809,-0.0011127261721438067,-0.003519364850119837,-0.0015736630327878307,-0.0019273731945309428,-0.0019273731945309476,-0.001112726172143809,-0.010515440114003372,-0.0027258762840372676,-0.00695411119100521,,-0.007217043722182352,-0.0011127261721438069,-0.006199013047350737,-0.004012927410925768,-0.0011127261721438067,-0.0011127261721438093,-0.0019273731945309526,-0.016384063595056474,-0.0027258762840372676,-0.0011127261721438075,-0.00111272617214381,-0.0036912127698216666,-0.0011127261721438073,-0.0011127261721438075,-0.08319165241178579,-0.043040899333060274,,,,-0.0056765716453381024,-0.0011127261721438086,-0.0024883248395898947,-0.0011127261721438114,-0.0011127261721438097,-0.0011127261721438065,,-0.009905155683241369,-0.0015736630327878283,-0.008982266306817269,-0.04344206439495663,-0.0011127261721438062,-0.0011127261721438065,-0.013389984921066352,-0.002488324839589887,-0.001112726172143808,-0.0011127261721438078,,-0.010275619959314633,-0.0011127261721438075,-0.0038554209706220927,-0.001112726172143807,-0.027508439704973426,-0.008700822670552494,-0.004012927410925741,-0.005221280109799554,-0.0027258762840372706,-0.004310743175803116,-0.003147693207725135,-0.0011127261721438065,-0.008152998259118714,-0.011801477336873131,-0.001927373194530941,-0.1974461388532759,0.20893762277734204,0.19710072661991193,-0.017504824942766055,-0.0064924186757675684,-0.18943362647709555,0.08102661535227682,-0.010106731692289738,-0.013026213723047303,-0.038156333391433615,-0.01464201630097387,-0.02853540048575677,-0.04711162903793598,-0.011425170100139876,-0.013436660128824326,0.005221280109800072,-0.00522128010979955,0.0019273731945291918,-0.005256646838126837
APPLICATION_TYPE_T2,-0.0025562177986593847,-0.0006187409714796844,-0.0009398023120463915,-0.00018238226233605368,-0.00012896122766295335,-0.00012896122766295343,-0.003691212769821669,1.0,-0.00022337608259227613,-0.0001823822623360539,-0.03975372716229243,-0.00451897913170107,-0.003915539708319242,-0.0040124881873553776,-0.0030028060684695016,-0.003110741621282946,-0.001343000542572903,-0.019145104248238714,-0.0008849052181705445,0.019272744231736763,-0.0006451071565634092,-0.00018238226233605425,-0.0004277991677361664,-0.00022337608259227564,0.020579043170964696,-0.008398491188694958,-0.0006320610479328142,-0.00012896122766295321,-0.0003648070752146499,,-0.00031591990989975733,-0.00031591990989975847,-0.0006187409714796902,-0.0001289612276629533,-0.0001289612276629534,-0.00012896122766295321,-0.00040788257077738796,-0.00018238226233605382,-0.00022337608259227545,-0.00022337608259227477,-0.00012896122766295346,-0.0012187042063596593,-0.0003159199098997565,-0.00080595814041913,,-0.0008364311380550183,-0.00012896122766295313,-0.0007184448006150521,-0.0004650848145669563,-0.0001289612276629531,-0.00012896122766295343,-0.00022337608259227307,-0.0018988579654378097,-0.0003159199098997605,-0.0001289612276629532,-0.00012896122766295357,-0.00042779916773616895,-0.00012896122766295313,-0.00012896122766295335,-0.009641633220205365,-0.004988295734084356,,,,-0.0006578955960828227,-0.00012896122766295332,-0.00028838849500545605,-0.00012896122766295365,-0.00012896122766295343,-0.0001289612276629532,,-0.0011479742897054866,-0.00018238226233605344,-0.0010410145093388032,-0.0050347894179509295,-0.00012896122766295316,-0.00012896122766295305,-0.0015518542989622082,-0.0002883884950054545,-0.00012896122766295316,-0.0001289612276629533,,-0.0011909098555649964,-0.00012896122766295332,-0.00044683034692263553,-0.00012896122766295327,-0.0031881358093796934,-0.0010083961367694711,-0.0004650848145669567,-0.0006051288356367404,-0.0003159199098997579,-0.0004996006618773264,-0.0003648070752146481,-0.00012896122766295327,-0.002189234986304746,-0.0013677516029550064,-0.0002233760825922719,-0.04379634438506673,0.04622556119790077,-0.013538898617699078,-0.0024710555230222507,-0.0007524495279155399,0.014037171315939092,-0.01585506535608012,-0.0031163277458480664,-0.002572931722170557,0.030883450238619374,-0.001696960532524007,-0.003466931801925277,-0.0011745282155615816,-0.0013241388575712227,-0.0015572637988415076,0.0006051288356363863,-0.0006051288356367396,0.0002233760825925198,-0.00014654084714471334
APPLICATION_TYPE_T25,-0.0013347335880497242,-0.00032307667890019777,-0.0004907194186164297,-9.523121681262669e-05,-6.733733025728269e-05,-6.733733025728269e-05,-0.0019273731945309619,-0.00022337608259227613,1.0,-9.523121681262677e-05,-0.020757478068380485,-0.002359592846094926,-0.0020445058972584297,-0.002095127714909422,-0.0015679204331054272,-0.0016242791705183106,-0.000701250078878708,-0.009996649620482025,-0.0004620548051704093,0.010063297060790958,-0.00033684382849067307,-9.523121681262704e-05,-0.0002233760825922728,-0.00011663621165584766,0.01074538333338308,-0.004385286842290941,-0.00033003178008395045,-6.733733025728266e-05,-0.00019048465146535666,,-0.0001649581327138842,-0.0001649581327138848,-0.0003230766789002012,-6.733733025728267e-05,-6.73373302572827e-05,-6.73373302572827e-05,-0.0002129765967055585,-9.523121681262673e-05,-0.00011663621165584727,-0.00011663621165584725,-6.733733025728274e-05,-0.0006363485298392091,-0.00016495813271388463,-0.000420832450640036,,-0.00043674397957724643,-6.733733025728277e-05,-0.00037513720741774156,-0.00024284484820501394,-6.733733025728278e-05,-6.733733025728273e-05,-0.0001166362116558457,-0.0009914920030424735,-0.00016495813271388566,-6.733733025728255e-05,-6.73373302572828e-05,-0.00022337608259227412,-6.733733025728236e-05,-6.733733025728269e-05,-0.005034395625213608,-0.002604647329699133,,,,-0.00034352133452097354,-6.733733025728274e-05,-0.00015058255634272047,-6.733733025728281e-05,-6.733733025728269e-05,-6.73373302572827e-05,,-0.0005994167803271793,-9.523121681262644e-05,-0.000543567544201566,-0.0026289240879320917,-6.733733025728266e-05,-6.733733025728271e-05,-0.0008103034325441868,-0.00015058255634272088,-6.733733025728251e-05,-6.733733025728273e-05,,-0.0006218356610284471,-6.733733025728273e-05,-0.00023331324604278274,-6.733733025728273e-05,-0.001664690681003349,-0.000526535803995922,-0.00024284484820501258,-0.00031596907839596803,-0.00016495813271388436,-0.0002608673581606643,-0.00019048465146535612,-6.73373302572827e-05,-0.0011431128716367577,-0.000714173888285399,-0.0001166362116558456,-0.02286833771175498,0.024136757513246763,-0.007069359559158204,-0.0012902659570883633,-0.00039289283516754953,0.007329533518786236,-0.016943161422830796,-0.001627195975216247,-0.001343460792402245,0.03255012076324239,-0.00088607090582908,-0.001810264495433162,-0.003769126151053725,-0.0006914014171128149,-0.0008131280123539532,0.000315969078396038,-0.00031596907839596483,0.00011663621165717887,5.7321235769156825e-05
APPLICATION_TYPE_T29,-0.001089784226580607,-0.0002637858759184625,-0.0004006629389362991,-7.775445144234503e-05,-5.497963116494393e-05,-5.4979631164944064e-05,-0.001573663032787831,-0.0001823822623360539,-9.523121681262677e-05,1.0,-0.016948080414734595,-0.0019265620404323694,-0.0016692996249827808,-0.001710631362560038,-0.0012801767872107146,-0.0013261926091039144,-0.0005725571617382275,-0.008162071571880222,-0.00037725883502058816,0.00821648792121089,-0.0002750264879799267,-7.77544514423451e-05,-0.00018238226233605428,-9.523121681262736e-05,0.00877339820480101,-0.003580502111094003,-0.0002694645818656155,-5.497963116494412e-05,-0.00015552704332253336,,-0.00013468513318860536,-0.00013468513318860606,-0.00026378587591846113,-5.4979631164944104e-05,-5.497963116494404e-05,-5.497963116494414e-05,-0.00017389128272382232,-7.775445144234492e-05,-9.52312168126272e-05,-9.523121681262711e-05,-5.4979631164944084e-05,-0.0005195662989494671,-0.00013468513318860563,-0.0003436015777582189,,-0.0003565930341895269,-5.497963116494395e-05,-0.0003062922931644425,-0.00019827813389103896,-5.497963116494394e-05,-5.4979631164944084e-05,-9.523121681262665e-05,-0.0008095340938226585,-0.00013468513318860617,-5.497963116494378e-05,-5.4979631164944124e-05,-0.00018238226233605552,-5.497963116494369e-05,-5.497963116494398e-05,-0.00411048691053084,-0.0021266442990012444,,,,-0.0002804785428393189,-5.4979631164944084e-05,-0.00012294775239773855,-5.497963116494415e-05,-5.4979631164944064e-05,-5.4979631164944124e-05,,-0.0004894122379154163,-7.775445144234474e-05,-0.0004438124139945988,-0.0021464658037806832,-5.497963116494412e-05,-5.497963116494387e-05,-0.0006615971212810154,-0.00012294775239773926,-5.4979631164943765e-05,-5.4979631164944145e-05,,-0.0005077168215301454,-5.4979631164943935e-05,-0.00019049576459768746,-5.4979631164944165e-05,-0.0013591878278451006,-0.00042990632667236925,-0.00019827813389103625,-0.00025798265721796746,-0.00013468513318860582,-0.00021299316560141536,-0.00015552704332253374,-5.4979631164944145e-05,-0.0009333296081439334,-0.0005831092028083216,-9.523121681262619e-05,-0.018671556593405126,0.019707196892506277,-0.0057719957065398035,-0.0010534772637162792,-0.000320789420702116,0.0059844227256155395,-0.013833764454815108,-0.0013285741238723149,-0.0010969098205798062,-0.002925679370141337,0.053376191176474484,-0.0014780460390935322,-0.0030774187929238296,0.06858599603542567,-0.0006639033362073243,0.0002579826572179274,-0.00025798265721796665,9.523121681386348e-05,0.00019125395362052627
